ID;Дата;Отправитель/Получатель;Тип;Фрираунды;Пользователь;Пояснение;"Сумма Реальная/Бонусная";"Баланс Реальный/Бонусный"
261590804;"14.11.2022 15:34:54";"Catcasino (Catcasino) (2474)";Обычная;;2130_279402;"Пополнение счета   <hr/>Paycos Pago P2P/2956; Date: 2022-11-14 15:34:17; nataliya326@yandex.ru; <br/>";"700.00 RUB";"713.30 RUB ( 713.30/0.00 )"
71019847132;"14.11.2022 15:36:17";"Quickspin&nbsp;(969)";Обычная;;2130_279402;"Ставка Quickspin (Golden Glyph)  ";"-20.00 RUB";"693.30 RUB ( 693.30/0.00 )"
71019856040;"14.11.2022 15:36:22";"Quickspin&nbsp;(969)";Обычная;;2130_279402;"Ставка Quickspin (Golden Glyph)  ";"-20.00 RUB";"673.30 RUB ( 673.30/0.00 )"
71019863352;"14.11.2022 15:36:25";"Quickspin&nbsp;(969)";Обычная;;2130_279402;"Ставка Quickspin (Golden Glyph)  ";"-20.00 RUB";"653.30 RUB ( 653.30/0.00 )"
71019880732;"14.11.2022 15:36:32";"Quickspin&nbsp;(969)";Обычная;;2130_279402;"Выигрыш Quickspin (Golden Glyph)  ";"52.00 RUB";"705.30 RUB ( 705.30/0.00 )"
71019882028;"14.11.2022 15:36:33";"Quickspin&nbsp;(969)";Обычная;;2130_279402;"Ставка Quickspin (Golden Glyph)  ";"-20.00 RUB";"685.30 RUB ( 685.30/0.00 )"
71019888892;"14.11.2022 15:36:36";"Quickspin&nbsp;(969)";Обычная;;2130_279402;"Ставка Quickspin (Golden Glyph)  ";"-20.00 RUB";"665.30 RUB ( 665.30/0.00 )"
71019911024;"14.11.2022 15:36:45";"Quickspin&nbsp;(969)";Обычная;;2130_279402;"Ставка Quickspin (Golden Glyph)  ";"-20.00 RUB";"645.30 RUB ( 645.30/0.00 )"
71019926592;"14.11.2022 15:36:52";"Quickspin&nbsp;(969)";Обычная;;2130_279402;"Ставка Quickspin (Golden Glyph)  ";"-20.00 RUB";"625.30 RUB ( 625.30/0.00 )"
71019938684;"14.11.2022 15:36:57";"Quickspin&nbsp;(969)";Обычная;;2130_279402;"Выигрыш Quickspin (Golden Glyph)  ";"30.00 RUB";"655.30 RUB ( 655.30/0.00 )"
71019940752;"14.11.2022 15:36:58";"Quickspin&nbsp;(969)";Обычная;;2130_279402;"Ставка Quickspin (Golden Glyph)  ";"-20.00 RUB";"635.30 RUB ( 635.30/0.00 )"
71020023336;"14.11.2022 15:37:33";"Quickspin&nbsp;(969)";Обычная;;2130_279402;"Выигрыш Quickspin (Golden Glyph)  ";"80.00 RUB";"715.30 RUB ( 715.30/0.00 )"
